time,max_amplitude,energy,theoretical_decay
0.0444,7.914768664940836e114,2.709705512113293e229,1.1494937896795192e-30
0.044500000000000005,1.5211893667515437e115,1.0009495884894617e230,9.83603034965974e-31
0.0446,2.9236698979820562e115,3.697450052111045e230,8.416530294295967e-31
0.044700000000000004,5.6191857892212045e115,1.3658167249450356e231,7.201887313945943e-31
0.0448,1.079986798632189e116,5.045248211195057e231,6.1625371820888665e-31
0.0449,2.0756948230065174e116,1.863685591753383e232,5.273182273636488e-31
0.045000000000000005,3.989408948065296e116,6.884347091593786e232,4.512175824563341e-31
0.0451,7.667496964631977e116,2.5430381115380673e233,3.860995052942368e-31
0.045200000000000004,1.473664657296184e117,9.393836119379088e233,3.3037903172330544e-31
0.0453,2.8323291579778293e117,3.470028885424923e234,2.8269993384024067e-31
0.0454,5.443632253386153e117,1.281808657577176e235,2.4190170961033693e-31
0.0455,1.0462460560643327e118,4.734927255336494e235,2.069913364234198e-31
0.0456,2.0108463593390965e118,1.7490548203743744e236,1.7711910107361424e-31
0.045700000000000005,3.8647725909499835e118,6.46090763321831e236,1.5155791786837185e-31
0.0458,7.427950479851592e118,2.3866220177163283e237,1.2968563147263132e-31
0.0459,1.427624705792691e119,8.816044089784724e237,1.109698737420084e-31
0.046,2.7438420680358094e119,3.2565958419928477e238,9.495510596265307e-32
0.0461,5.273563327794377e119,1.2029677222659542e239,8.125153110781118e-32
0.046200000000000005,1.0135594353714177e120,4.44369338729048e239,6.952560623712193e-32
0.0463,1.9480238790637178e120,1.6414747091504745e240,5.949192411187308e-32
0.046400000000000004,3.744030099245616e120,6.063512906826046e240,5.090626642595282e-32
0.0465,7.195887860874501e120,2.2398266976823244e241,4.3559659569203664e-32
0.0466,1.383023125715335e121,8.273790643705935e241,3.727328824133859e-32
0.046700000000000005,2.6581194749610603e121,3.0562905463496106e242,3.1894143114564927e-32
0.0468,5.108807663295103e121,1.1289761012758875e243,2.7291296609677176e-32
0.046900000000000004,9.818940038774415e121,4.170372606671978e243,2.3352716138570145e-32
0.047,1.8871640867931816e122,1.5405115891134372e244,1.99825372479833e-32
0.0471,3.627059821547716e122,5.69056096425606e244,1.7098730293198723e-32
0.0472,6.971075298194883e122,2.1020604010224435e245,1.4631103848889976e-32
